"","sampleCode","sampleCode.y","speciesCode","Plot.x","binomial","family","genus","plot_Binomial","Plot.y","Binomial","Abundance","MW","nAtom","naAromAtom","nAtomLC","nAtomP","nB","nAromBond","nRotB","XLogP","ALogP","MLogP","TopoPSA","tpsaEfficiency","HybRatio","Fsp3","FMF","ECCEN","WPATH","WPOL","nHBDon","nHBAcc"
"PP_Tapuri_45_Meliosma solomonii","MDP0611","MDP0611.mzXML","melsol","PP_Tapuri_45","Meliosma solomonii","Sabiaceae","Meliosma","PP_Tapuri_45_Meliosma solomonii","PP_Tapuri_45","Meliosma solomonii",1,351.288084121781,45.4987599527555,11.7902857543958,4.28103923987338,15.6020725451512,27.1893145350941,12.3611508553165,5.09318556143666,3.32963047853431,2.76450919502511,2.73878674323809,115.53617789112,0.344787579858656,0.254340597826788,0.253321113323504,0.387178806434005,590.020470894603,2327.30914810501,42.4454307658377,3.7274785447365,5.66585795280823
"PP_Tapuri_45_Siphoneugena AF-19267","MDP0627","MDP0627.mzXML","sip3AF19267","PP_Tapuri_45","Siphoneugena AF-19267","Myrtaceae","Siphoneugena","PP_Tapuri_45_Siphoneugena AF-19267",NA,NA,8,385.013531585698,50.7905041501958,10.6100173469354,3.95055392706387,14.6280017276734,29.7257463641505,11.0371859493551,5.55924167336064,3.37334399366069,3.01284609681359,2.90570319592208,116.116578586979,0.326933553518119,0.327594080338573,0.326231540237768,0.360370786446333,630.338112678299,2482.12901147664,48.1885275247829,3.12774713150371,5.79320968712002
"PP_Tapuri_45_Ocotea caesifolia","MDP0619","MDP0619.mzXML","ococae","PP_Tapuri_45","Ocotea caesifolia","Lauraceae","Ocotea","PP_Tapuri_45_Ocotea caesifolia","PP_Tapuri_45","Ocotea caesifolia",8,344.495725115656,41.2809574143663,12.5521581591995,2.67930825653666,15.3760803418212,26.7939326373971,13.0293582872819,3.82117616172499,2.61095895608642,2.3375131881815,2.56270824957412,126.293660022537,0.368894034838394,0.219406326796281,0.21805782117997,0.410700438569217,526.564730333268,1848.73856642849,41.8907656265185,4.09061627783516,5.93768174919184
"PP_Tapuri_45_Gordonia fruticosa","MDP0608","MDP0608.mzXML","gorfru","PP_Tapuri_45","Gordonia fruticosa","Theaceae","Gordonia","PP_Tapuri_45_Gordonia fruticosa","PP_Tapuri_45","Gordonia fruticosa",82,387.285783410745,50.1704551525139,11.3757318010713,4.22091045011478,12.7797455009866,29.9510672010353,11.7335726272537,5.30397315186641,2.77865645840434,2.45279039380941,2.79070339035733,134.848985227229,0.35636316465068,0.317558094336044,0.317432579357529,0.384897025710431,648.503004405633,2576.84422116338,47.5723380012699,4.73428051862944,6.66183704627373
"PP_Tapuri_45_Symplocos mapiriensis","MDP0628","MDP0628.mzXML","sym2map","PP_Tapuri_45","Symplocos mapiriensis","Symplocaceae","Symplocos","PP_Tapuri_45_Symplocos mapiriensis","PP_Tapuri_45","Symplocos mapiriensis",2,385.100712921672,48.3360436838252,12.6642784647916,3.12490971737626,15.0839991682013,29.9322087399012,13.1709681181594,4.49467570467484,3.07101372372427,2.52810905115377,2.74405756789848,137.527091418778,0.365157365061822,0.257144892910923,0.257131257101268,0.40116111514371,602.980451735252,2318.84482846579,49.3772155924541,4.74759221952463,6.72281061803296
"PP_Tapuri_45_Alchornea grandiflora","MDP0601","MDP0601.mzXML","alcgra","PP_Tapuri_45","Alchornea grandiflora","Euphorbiaceae","Alchornea","PP_Tapuri_45_Alchornea grandiflora","PP_Tapuri_45","Alchornea grandiflora",36,361.84649304483,47.7750316579353,9.01059570844371,4.87411876799896,13.4090997278954,27.4976377758552,9.49346296342576,5.14440722203144,2.18788423615112,1.60558389583767,2.68855757050068,120.387209538063,0.331928288090696,0.437343991852565,0.436620517475576,0.299489218034544,591.03018393589,2242.27859011851,43.9903069215715,3.70695340848346,6.38974017988837
"PP_Tapuri_45_Podocarpus oleifolius","MDP0624","MDP0624.mzXML","podole","PP_Tapuri_45","Podocarpus oleifolius","Podocarpaceae","Podocarpus","PP_Tapuri_45_Podocarpus oleifolius","PP_Tapuri_45","Podocarpus oleifolius",54,449.108013019945,56.4699054514651,15.882693822133,3.25871920553823,19.0367524231654,35.5411756489165,16.5604578097011,5.42768578252655,3.94760563427658,3.53037119345048,3.20459021737472,135.887706947335,0.310904742620129,0.279604628528971,0.279604628528971,0.399478911080247,819.827249093836,3538.17995686459,58.8457288210314,4.10007670652263,6.54381309025173
"PP_Tapuri_45_Cavendishia bracteata","MDP0602","MDP0602.mzXML","cav2bra","PP_Tapuri_45","Cavendishia bracteata","Ericaceae","Cavendishia","PP_Tapuri_45_Cavendishia bracteata","PP_Tapuri_45","Cavendishia bracteata",8,378.218258402433,49.4984027161813,11.0480129281498,3.14769852653918,15.1174956009023,29.6692068631893,11.5954838788452,3.93482111154427,4.03800146945122,3.18525882466874,2.92427607631425,119.257639895603,0.327920948163037,0.311023430648235,0.310851446305641,0.385638484428283,583.250934493184,2112.86811424567,50.5276878746822,3.82500376599904,5.75118957056935
"PP_Tapuri_45_Weinmannia davidsonii","MDP0633","MDP0633.mzXML","weidav","PP_Tapuri_45","Weinmannia davidsonii","Cunoniaceae","Weinmannia","PP_Tapuri_45_Weinmannia davidsonii","PP_Tapuri_45","Weinmannia davidsonii",52,334.328226478144,38.2098774751601,13.875518918897,0.821070848568802,15.8016713236264,26.3637737533329,14.4103511390455,2.15610093243893,2.4883508227296,2.13501911300457,2.49412395626591,130.820754062357,0.397593909317775,0.138384984443746,0.138170361891367,0.456328226474933,457.538963510503,1500.25946055204,43.6507897722373,4.71966392025448,6.07150197654533
"PP_Tapuri_45_Miconia AM-3656","MDP0612","MDP0612.mzXML","mic1AM3656","PP_Tapuri_45","Miconia AM-3656","Melastomataceae","Miconia","PP_Tapuri_45_Miconia AM-3656",NA,NA,2,392.541711898868,60.3034431845297,4.44647742213594,8.61724521666415,8.14685151111888,29.5038886832334,4.55394944288758,7.84084985998891,5.34196680015758,4.31069707329312,3.27891834903289,95.0280661164676,0.253930020467448,0.590537708676158,0.589998394310434,0.257976367316499,713.002644526931,2649.1153478639,47.3470374172156,2.75568104208285,5.06079027612811
