"","filename","ATTRIBUTE_CollectionNumber","ATTRIBUTE_Family","ATTRIBUTE_Genus","ATTRIBUTE_Species","ATTRIBUTE_Genus_species","ATTRIBUTE_SpeciesCode","ATTRIBUTE_Latitude","ATTRIBUTE_Longitude"
"2274","MD02347.mzXML","LQP-432","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon_rhamnoides","phy3rha",-14.1892,-68.3339
"2275","MD02348.mzXML","LQP-430","Petiveriaceae","Gallesia","integrifolia","Gallesia_integrifolia","gal2int",-14.1892,-68.3339
"2276","MD02349.mzXML","LQP-454","Annonaceae","Oxandra","espintana","Oxandra_espintana","oxaesp",-14.1892,-68.3339
"2277","MD02350.mzXML","LQP-426","Rubiaceae","Simira","rubescens","Simira_rubescens","sim2rub",-14.1892,-68.3339
"2278","MD02351.mzXML","LQP-440","Annonaceae","Oxandra","espintana","Oxandra_espintana","oxaesp",-14.1892,-68.3339
"2279","MD02352.mzXML","LQP-453","Sapotaceae","Chrysophyllum","gonocarpum","Chrysophyllum_gonocarpum","chr2gon",-14.1892,-68.3339
"2280","MD02353.mzXML","LQP-383","Sapindaceae","Sapindus","saponaria","Sapindus_saponaria","sap1sap",-14.1892,-68.3339
"2281","MD02354.mzXML","LQP-428","Sapindaceae","Sapindus","saponaria","Sapindus_saponaria","sap1sap",-14.1892,-68.3339
"2282","MD02355.mzXML","LQP-472","Meliaceae","Trichilia","claussenii","Trichilia_claussenii","tri1cla",-14.1892,-68.3339
"2283","MD02356.mzXML","LQP-391","Fabaceae","Machaerium","nyctitans","Machaerium_nyctitans","mac1nyc",-14.1892,-68.3339
"2284","MD02357.mzXML","LQP-416","Meliaceae","Trichilia","claussenii","Trichilia_claussenii","tri1cla",-14.1892,-68.3339
"2285","MD02358.mzXML","LQP-395","Meliaceae","Trichilia","pleeana","Trichilia_pleeana","tri1ple",-14.1892,-68.3339
"2286","MD02359.mzXML","LQP-445","Malvaceae","Ceiba","speciosa","Ceiba_speciosa","ceispe",-14.1892,-68.3339
"2287","MD02360.mzXML","LQP-404","Fabaceae","Machaerium","nyctitans","Machaerium_nyctitans","mac1nyc",-14.1892,-68.3339
"2288","MD02361.mzXML","LQP-486","Lecythidaceae","Cariniana","ianeirensis","Cariniana_ianeirensis","car4ian",-14.1892,-68.3339
